Date	Open	High	Low	Close	Change (Pips)	Change (%)
Apr 28, 2019 21:00	1.11447	1.11491	1.11447	1.11484	+3.7	+0.03%
Apr 26, 2019 20:00	1.11473	1.11535	1.11465	1.11473	+0.0	+0.00%
Apr 26, 2019 19:00	1.11539	1.11541	1.1147	1.11474	-6.5	-0.06%
Apr 26, 2019 18:00	1.11569	1.11598	1.11513	1.1154	-2.9	-0.03%
Apr 26, 2019 17:00	1.11629	1.11659	1.11561	1.11568	-6.1	-0.05%
Apr 26, 2019 16:00	1.11537	1.11633	1.11508	1.11628	+9.1	+0.08%
Apr 26, 2019 15:00	1.11631	1.1169	1.1154	1.11543	-8.8	-0.08%
Apr 26, 2019 14:00	1.11539	1.11738	1.11514	1.11626	+8.7	+0.08%
Apr 26, 2019 13:00	1.11477	1.11568	1.11421	1.11539	+6.2	+0.06%
Apr 26, 2019 12:00	1.11336	1.11593	1.11112	1.11482	+14.6	+0.13%
Apr 26, 2019 11:00	1.11367	1.11415	1.11323	1.11331	-3.6	-0.03%
Apr 26, 2019 10:00	1.11373	1.11398	1.11349	1.11369	-0.4	+0.00%
Apr 26, 2019 09:00	1.11425	1.1145	1.11375	1.11375	-5.0	-0.04%
Apr 26, 2019 08:00	1.11408	1.11446	1.11295	1.11423	+1.5	+0.01%
Apr 26, 2019 07:00	1.11446	1.1147	1.11385	1.1141	-3.6	-0.03%
Apr 26, 2019 06:00	1.11395	1.11471	1.11341	1.11442	+4.7	+0.04%
Apr 26, 2019 05:00	1.11352	1.114	1.11331	1.114	+4.8	+0.04%
Apr 26, 2019 04:00	1.11358	1.11379	1.11353	1.11353	-0.5	+0.00%
Apr 26, 2019 03:00	1.11388	1.11389	1.11348	1.11359	-2.9	-0.03%
Apr 26, 2019 02:00	1.11338	1.11411	1.11292	1.11388	+5.0	+0.04%
Apr 26, 2019 01:00	1.11291	1.11382	1.11267	1.11337	+4.6	+0.04%
Apr 26, 2019 00:00	1.11355	1.11366	1.11242	1.11294	-6.1	-0.05%
Apr 25, 2019 23:00	1.11374	1.11394	1.11354	1.11356	-1.8	-0.02%
Apr 25, 2019 22:00	1.11339	1.11377	1.11339	1.11372	+3.3	+0.03%
Apr 25, 2019 21:00	1.11285	1.11366	1.11281	1.11342	+5.7	+0.05%
Apr 25, 2019 20:00	1.11333	1.1134	1.11314	1.11328	-0.5	+0.00%
Apr 25, 2019 19:00	1.1128	1.11341	1.11273	1.11334	+5.4	+0.05%
Apr 25, 2019 18:00	1.11361	1.11363	1.11273	1.11282	-7.9	-0.07%
Apr 25, 2019 17:00	1.11365	1.11385	1.11322	1.11357	-0.8	-0.01%
Apr 25, 2019 16:00	1.11396	1.11437	1.11298	1.11365	-3.1	-0.03%
Apr 25, 2019 15:00	1.11438	1.11479	1.11322	1.11395	-4.3	-0.04%
Apr 25, 2019 14:00	1.11415	1.11543	1.1139	1.11434	+1.9	+0.02%
Apr 25, 2019 13:00	1.11306	1.11469	1.11297	1.11418	+11.2	+0.10%
Apr 25, 2019 12:00	1.11234	1.11308	1.11177	1.11305	+7.1	+0.06%
Apr 25, 2019 11:00	1.11326	1.11341	1.11217	1.11235	-9.1	-0.08%
Apr 25, 2019 10:00	1.11333	1.11411	1.11311	1.11324	-0.9	-0.01%
Apr 25, 2019 09:00	1.11476	1.11483	1.11294	1.11338	-13.8	-0.12%
Apr 25, 2019 08:00	1.11543	1.11551	1.11347	1.11471	-7.2	-0.06%
Apr 25, 2019 07:00	1.1155	1.116	1.11449	1.11547	-0.3	+0.00%
Apr 25, 2019 06:00	1.11557	1.11626	1.11516	1.11552	-0.5	+0.00%
Apr 25, 2019 05:00	1.11573	1.11588	1.11529	1.11557	-1.6	-0.01%
Apr 25, 2019 04:00	1.11565	1.1158	1.11504	1.11572	+0.7	+0.01%
Apr 25, 2019 03:00	1.11596	1.11597	1.11562	1.11568	-2.8	-0.03%
Apr 25, 2019 02:00	1.11541	1.11604	1.11505	1.11593	+5.2	+0.05%
Apr 25, 2019 01:00	1.11526	1.11548	1.11449	1.11542	+1.6	+0.01%
Apr 25, 2019 00:00	1.11533	1.11536	1.1145	1.11523	-1.0	-0.01%
Apr 24, 2019 23:00	1.11579	1.11579	1.11499	1.11533	-4.6	-0.04%
Apr 24, 2019 22:00	1.11551	1.11595	1.11551	1.11582	+3.1	+0.03%
Apr 24, 2019 21:00	1.11538	1.11565	1.11511	1.11551	+1.3	+0.01%
